metric,method,count,mean,variance,std,mean_pm_std
unsafe_ratio,eudm_ai,5,0.02455804881447351,0.00010886776232994351,0.010433971551137348,0.024558 +- 0.010434
unsafe_ratio,eudm_base,5,0.6206458775429361,0.014073470989012623,0.11863166098901516,0.620646 +- 0.118632
unsafe_ratio,mpdm,5,0.22464663652128286,0.016289891443567694,0.1276318590461163,0.224647 +- 0.127632
average_velocity_mps,eudm_ai,5,14.161824563856076,0.5007197298604997,0.7076155240386546,14.161825 +- 0.707616
average_velocity_mps,eudm_base,5,12.363728303061368,0.010177334052581045,0.10088277381486417,12.363728 +- 0.100883
average_velocity_mps,mpdm,5,12.24127084173983,3.638620712677527e-05,0.006032098070056162,12.241271 +- 0.006032
ud_per_km,eudm_ai,5,0.0,0.0,0.0,0.000000 +- 0.000000
ud_per_km,eudm_base,5,0.0,0.0,0.0,0.000000 +- 0.000000
ud_per_km,mpdm,5,0.0,0.0,0.0,0.000000 +- 0.000000
lcc_per_km,eudm_ai,5,0.12178464335885289,0.05932599743217197,0.24356928671770578,0.121785 +- 0.243569
lcc_per_km,eudm_base,5,0.27479803602996855,0.30205584242371153,0.5495960720599371,0.274798 +- 0.549596
lcc_per_km,mpdm,5,0.0,0.0,0.0,0.000000 +- 0.000000
distance_m,eudm_ai,5,1694.351939082834,7094.444703508059,84.22852666115001,1694.351939 +- 84.228527
distance_m,eudm_base,5,1479.0571743933601,144.27574655949158,12.01148394493751,1479.057174 +- 12.011484
distance_m,mpdm,5,1464.78769828787,0.6653562184822548,0.8156937038387968,1464.787698 +- 0.815694
frames,eudm_ai,5,11964.0,2.8,1.6733200530681511,11964.000000 +- 1.673320
frames,eudm_base,5,11964.2,18.16,4.261455150532504,11964.200000 +- 4.261455
frames,mpdm,5,11965.0,5.2,2.280350850198276,11965.000000 +- 2.280351
