scenario,scenario_label,aggressiveness,method,method_label,runs,unsafe_ratio,average_velocity_mps,ud_per_km,lcc_per_km
highway_v1.0_lt_fast_rear_approach,后方高速逼近,3,eudm_ai,主动推理决策,5,0.03734591626708408,13.929831054541571,0.0,0.0
highway_v1.0_lt_fast_rear_approach,后方高速逼近,3,eudm_base,原始EUDM,5,0.03961117424549262,13.216711286328623,0.0,0.0
highway_v1.0_lt_fast_rear_approach,后方高速逼近,3,mpdm,MPDM基线,5,0.039902260516287535,13.101728975930552,0.0,0.0
highway_v1.0_lt_fast_rear_approach,后方高速逼近,5,eudm_ai,主动推理决策,5,0.02007483013412658,13.890619736799632,0.0,0.0
highway_v1.0_lt_fast_rear_approach,后方高速逼近,5,eudm_base,原始EUDM,5,0.65741502204831,13.215915351613583,0.0,0.0
highway_v1.0_lt_fast_rear_approach,后方高速逼近,5,mpdm,MPDM基线,5,0.37481680503820447,13.097245658158496,0.0,0.12755842063243034
highway_v1.0_lt_fast_rear_approach,后方高速逼近,7,eudm_ai,主动推理决策,5,0.012050092800452123,13.544664586876474,0.0,0.0
highway_v1.0_lt_fast_rear_approach,后方高速逼近,7,eudm_base,原始EUDM,5,0.028695335132845272,13.006559356531772,0.0,1.4075473536419727
highway_v1.0_lt_fast_rear_approach,后方高速逼近,7,mpdm,MPDM基线,5,0.00599913053001677,16.623844129458433,0.201789665546749,0.0
highway_v1.0_lt_merge_squeeze,合流夹挤,3,eudm_ai,主动推理决策,5,0.027426578662397505,14.128860344212873,0.0,0.0
highway_v1.0_lt_merge_squeeze,合流夹挤,3,eudm_base,原始EUDM,5,0.34608248920610585,12.465966901089635,0.0,0.0
highway_v1.0_lt_merge_squeeze,合流夹挤,3,mpdm,MPDM基线,5,0.7888717100781024,12.248996162702698,0.0,0.1366013095850956
highway_v1.0_lt_merge_squeeze,合流夹挤,5,eudm_ai,主动推理决策,5,0.02455804881447351,14.161824563856076,0.0,0.12178464335885289
highway_v1.0_lt_merge_squeeze,合流夹挤,5,eudm_base,原始EUDM,5,0.6206458775429361,12.363728303061368,0.0,0.27479803602996855
highway_v1.0_lt_merge_squeeze,合流夹挤,5,mpdm,MPDM基线,5,0.22464663652128286,12.24127084173983,0.0,0.0
highway_v1.0_lt_merge_squeeze,合流夹挤,7,eudm_ai,主动推理决策,5,0.0,14.217143598836813,0.0,0.0
highway_v1.0_lt_merge_squeeze,合流夹挤,7,eudm_base,原始EUDM,5,0.0,14.567035342261027,0.0,0.0
highway_v1.0_lt_merge_squeeze,合流夹挤,7,mpdm,MPDM基线,5,0.0027740139075856838,16.396061072873938,0.8175207799613421,0.0
