metric,method,count,mean,variance,std,mean_pm_std
unsafe_ratio,eudm_ai,10,0.04460487070018917,0.0009966788787908133,0.031570221392806436,0.044605 +- 0.031570
unsafe_ratio,eudm_base,10,0.17568056257034023,0.07594924896233933,0.2755889129887836,0.175681 +- 0.275589
unsafe_ratio,mpdm,10,0.13995140772044143,0.0866303363775571,0.2943303184817308,0.139951 +- 0.294330
average_velocity_mps,eudm_ai,10,13.544408877621285,0.1294588424276932,0.3598038944031779,13.544409 +- 0.359804
average_velocity_mps,eudm_base,10,13.045017632339238,0.010052031035157281,0.10025981764973085,13.045018 +- 0.100260
average_velocity_mps,mpdm,10,13.291735786581933,1.163814748986848,1.0788024605954734,13.291736 +- 1.078802
ud_per_km,eudm_ai,10,0.0,0.0,0.0,0.000000 +- 0.000000
ud_per_km,eudm_base,10,0.0,0.0,0.0,0.000000 +- 0.000000
ud_per_km,mpdm,10,0.0,0.0,0.0,0.000000 +- 0.000000
lcc_per_km,eudm_ai,10,0.0,0.0,0.0,0.000000 +- 0.000000
lcc_per_km,eudm_base,10,0.0,0.0,0.0,0.000000 +- 0.000000
lcc_per_km,mpdm,10,0.0,0.0,0.0,0.000000 +- 0.000000
distance_m,eudm_ai,10,1620.3073024793514,1842.4571920400824,42.92385341555535,1620.307302 +- 42.923853
distance_m,eudm_base,10,1560.6072234734859,147.47593232808964,12.143966910696424,1560.607223 +- 12.143967
distance_m,mpdm,10,1590.2398383494517,16665.09219216699,129.09334681604236,1590.239838 +- 129.093347
frames,eudm_ai,10,11964.8,5.959999999999999,2.4413111231467406,11964.800000 +- 2.441311
frames,eudm_base,10,11965.6,12.240000000000004,3.498571136907181,11965.600000 +- 3.498571
frames,mpdm,10,11964.7,4.81,2.1931712199461306,11964.700000 +- 2.193171
