metric,method,count,mean,variance,std,mean_pm_variance,mean_pm_std
unsafe_ratio,eudm,10,0.09921877201429771,0.0001663339997275206,0.012897053916593534,0.099219 +- 0.000166,0.099219 +- 0.012897
unsafe_ratio,mpdm,10,0.05569860031740759,0.00019837980559643032,0.01408473661792901,0.055699 +- 0.000198,0.055699 +- 0.014085
average_velocity_mps,eudm,10,12.908948199247158,0.22079374288030773,0.46988694691415694,12.908948 +- 0.220794,12.908948 +- 0.469887
average_velocity_mps,mpdm,10,15.547761315710584,0.027026624327700983,0.16439776253860933,15.547761 +- 0.027027,15.547761 +- 0.164398
ud_per_km,eudm,10,0.0,0.0,0.0,0.000000 +- 0.000000,0.000000 +- 0.000000
ud_per_km,mpdm,10,1.020084929056233,0.19485328237195204,0.44142188705585506,1.020085 +- 0.194853,1.020085 +- 0.441422
lcc_per_km,eudm,10,7.125090820426779,6.059626484687515,2.461630858737255,7.125091 +- 6.059626,7.125091 +- 2.461631
lcc_per_km,mpdm,10,1.5072703361479272,0.10746720824363569,0.3278219154413501,1.507270 +- 0.107467,1.507270 +- 0.327822
distance_m,eudm,10,1543.6150942605234,3164.467448964392,56.25359943118655,1543.615094 +- 3164.467449,1543.615094 +- 56.253599
distance_m,mpdm,10,1859.128023852491,410.74430644960376,20.266827735232855,1859.128024 +- 410.744306,1859.128024 +- 20.266828
frames,eudm,10,11961.5,12.65,3.556683848755748,11961.500000 +- 12.650000,11961.500000 +- 3.556684
frames,mpdm,10,11962.7,3.81,1.9519221295943134,11962.700000 +- 3.810000,11962.700000 +- 1.951922
