metric,method,count,mean,variance,std,mean_pm_variance,mean_pm_std
unsafe_ratio,eudm,10,0.08955563821334582,0.0006414215560559796,0.02532630166558038,0.089556 +- 0.000641,0.089556 +- 0.025326
unsafe_ratio,mpdm,10,0.04354343028381779,3.505553939997427e-05,0.005920771858463579,0.043543 +- 0.000035,0.043543 +- 0.005921
average_velocity_mps,eudm,10,13.126154532729311,0.27718561748815,0.526484204405175,13.126155 +- 0.277186,13.126155 +- 0.526484
average_velocity_mps,mpdm,10,15.59755907263806,0.007230760105627482,0.0850338762236997,15.597559 +- 0.007231,15.597559 +- 0.085034
ud_per_km,eudm,10,0.0,0.0,0.0,0.000000 +- 0.000000,0.000000 +- 0.000000
ud_per_km,mpdm,10,1.4994706186261113,0.10070921373170401,0.31734715018683246,1.499471 +- 0.100709,1.499471 +- 0.317347
lcc_per_km,eudm,10,0.4487005929669367,0.4993200889229822,0.7066258479018314,0.448701 +- 0.499320,0.448701 +- 0.706626
lcc_per_km,mpdm,10,1.4465606590315034,0.1174608546408927,0.34272562588883354,1.446561 +- 0.117461,1.446561 +- 0.342726
distance_m,eudm,10,1570.4749867779474,3984.898227594064,63.126050308838934,1570.474987 +- 3984.898228,1570.474987 +- 63.126050
distance_m,mpdm,10,1866.584738634217,105.24060007908581,10.258684129998633,1866.584739 +- 105.240600,1866.584739 +- 10.258684
frames,eudm,10,11965.4,13.040000000000001,3.6110940170535577,11965.400000 +- 13.040000,11965.400000 +- 3.611094
frames,mpdm,10,11967.4,9.440000000000001,3.0724582991474434,11967.400000 +- 9.440000,11967.400000 +- 3.072458
