metric,method,count,mean,variance,std,mean_pm_variance,mean_pm_std
unsafe_ratio,eudm,10,0.04630877291616009,0.0001910983004327469,0.01382383088846022,0.046309 +- 0.000191,0.046309 +- 0.013824
unsafe_ratio,mpdm,10,0.054145274691150824,3.2600214511432996e-05,0.005709659754436598,0.054145 +- 0.000033,0.054145 +- 0.005710
average_velocity_mps,eudm,10,5.918145260385108,6.85081955712703,2.617407029318717,5.918145 +- 6.850820,5.918145 +- 2.617407
average_velocity_mps,mpdm,10,10.565012554202909,0.002187969509021913,0.046775736327950124,10.565013 +- 0.002188,10.565013 +- 0.046776
ud_per_km,eudm,10,1.7555648676054845,0.6031121904932519,0.7766029812544193,1.755565 +- 0.603112,1.755565 +- 0.776603
ud_per_km,mpdm,10,0.7906927230261867,0.12509832763943238,0.3536924195391136,0.790693 +- 0.125098,0.790693 +- 0.353692
lcc_per_km,eudm,10,0.0,0.0,0.0,0.000000 +- 0.000000,0.000000 +- 0.000000
lcc_per_km,mpdm,10,1.185828197949156,0.15491973430652717,0.39359844296761026,1.185828 +- 0.154920,1.185828 +- 0.393598
distance_m,eudm,10,708.2024520741012,98146.00579088437,313.2826292517419,708.202452 +- 98146.005791,708.202452 +- 313.282629
distance_m,mpdm,10,1264.27327667924,31.19289602377417,5.585060073425725,1264.273277 +- 31.192896,1264.273277 +- 5.585060
frames,eudm,10,11963.4,7.240000000000002,2.6907248094147422,11963.400000 +- 7.240000,11963.400000 +- 2.690725
frames,mpdm,10,11964.0,7.8,2.792848008753788,11964.000000 +- 7.800000,11964.000000 +- 2.792848
