metric,method,count,mean,variance,std,mean_pm_std
unsafe_ratio,eudm_ai,1,0.0,0.0,0.0,0.000000 +- 0.000000
unsafe_ratio,eudm_base,1,0.0,0.0,0.0,0.000000 +- 0.000000
unsafe_ratio,mpdm,1,0.0,0.0,0.0,0.000000 +- 0.000000
average_velocity_mps,eudm_ai,1,8.63723570571814,0.0,0.0,8.637236 +- 0.000000
average_velocity_mps,eudm_base,1,12.337809603410921,0.0,0.0,12.337810 +- 0.000000
average_velocity_mps,mpdm,1,11.026433045264875,0.0,0.0,11.026433 +- 0.000000
ud_per_km,eudm_ai,1,0.0,0.0,0.0,0.000000 +- 0.000000
ud_per_km,eudm_base,1,0.0,0.0,0.0,0.000000 +- 0.000000
ud_per_km,mpdm,1,0.0,0.0,0.0,0.000000 +- 0.000000
lcc_per_km,eudm_ai,1,0.0,0.0,0.0,0.000000 +- 0.000000
lcc_per_km,eudm_base,1,0.0,0.0,0.0,0.000000 +- 0.000000
lcc_per_km,mpdm,1,0.0,0.0,0.0,0.000000 +- 0.000000
distance_m,eudm_ai,1,65.95424277452611,0.0,0.0,65.954243 +- 0.000000
distance_m,eudm_base,1,93.77383913041837,0.0,0.0,93.773839 +- 0.000000
distance_m,mpdm,1,83.8174898982981,0.0,0.0,83.817490 +- 0.000000
frames,eudm_ai,1,764.0,0.0,0.0,764.000000 +- 0.000000
frames,eudm_base,1,763.0,0.0,0.0,763.000000 +- 0.000000
frames,mpdm,1,762.0,0.0,0.0,762.000000 +- 0.000000
