metric,method,count,mean,variance,std,mean_pm_std
unsafe_ratio,eudm_ai,1,0.0,0.0,0.0,0.000000 +- 0.000000
unsafe_ratio,eudm_base,1,0.0,0.0,0.0,0.000000 +- 0.000000
unsafe_ratio,mpdm,1,0.3193166885676741,0.0,0.0,0.319317 +- 0.000000
average_velocity_mps,eudm_ai,1,11.82255221901393,0.0,0.0,11.822552 +- 0.000000
average_velocity_mps,eudm_base,1,11.910643290321762,0.0,0.0,11.910643 +- 0.000000
average_velocity_mps,mpdm,1,14.730987682932911,0.0,0.0,14.730988 +- 0.000000
ud_per_km,eudm_ai,1,0.0,0.0,0.0,0.000000 +- 0.000000
ud_per_km,eudm_base,1,0.0,0.0,0.0,0.000000 +- 0.000000
ud_per_km,mpdm,1,0.0,0.0,0.0,0.000000 +- 0.000000
lcc_per_km,eudm_ai,1,0.0,0.0,0.0,0.000000 +- 0.000000
lcc_per_km,eudm_base,1,0.0,0.0,0.0,0.000000 +- 0.000000
lcc_per_km,mpdm,1,0.0,0.0,0.0,0.000000 +- 0.000000
distance_m,eudm_ai,1,89.86727255992221,0.0,0.0,89.867273 +- 0.000000
distance_m,eudm_base,1,91.12514076351856,0.0,0.0,91.125141 +- 0.000000
distance_m,mpdm,1,112.6749562321726,0.0,0.0,112.674956 +- 0.000000
frames,eudm_ai,1,764.0,0.0,0.0,764.000000 +- 0.000000
frames,eudm_base,1,767.0,0.0,0.0,767.000000 +- 0.000000
frames,mpdm,1,761.0,0.0,0.0,761.000000 +- 0.000000
