metric,method,count,mean,variance,std,mean_pm_std
unsafe_ratio,eudm_ai,1,0.0,0.0,0.0,0.000000 +- 0.000000
unsafe_ratio,eudm_base,1,0.0,0.0,0.0,0.000000 +- 0.000000
unsafe_ratio,mpdm,1,0.0,0.0,0.0,0.000000 +- 0.000000
average_velocity_mps,eudm_ai,1,9.026096178500751,0.0,0.0,9.026096 +- 0.000000
average_velocity_mps,eudm_base,1,8.93560252354651,0.0,0.0,8.935603 +- 0.000000
average_velocity_mps,mpdm,1,14.01881410208357,0.0,0.0,14.018814 +- 0.000000
ud_per_km,eudm_ai,1,0.0,0.0,0.0,0.000000 +- 0.000000
ud_per_km,eudm_base,1,0.0,0.0,0.0,0.000000 +- 0.000000
ud_per_km,mpdm,1,0.0,0.0,0.0,0.000000 +- 0.000000
lcc_per_km,eudm_ai,1,0.0,0.0,0.0,0.000000 +- 0.000000
lcc_per_km,eudm_base,1,0.0,0.0,0.0,0.000000 +- 0.000000
lcc_per_km,mpdm,1,0.0,0.0,0.0,0.000000 +- 0.000000
distance_m,eudm_ai,1,68.93859898065273,0.0,0.0,68.938599 +- 0.000000
distance_m,eudm_base,1,68.21580880941008,0.0,0.0,68.215809 +- 0.000000
distance_m,mpdm,1,106.5397338549882,0.0,0.0,106.539734 +- 0.000000
frames,eudm_ai,1,765.0,0.0,0.0,765.000000 +- 0.000000
frames,eudm_base,1,765.0,0.0,0.0,765.000000 +- 0.000000
frames,mpdm,1,761.0,0.0,0.0,761.000000 +- 0.000000
