metric,method,count,mean,variance,std,mean_pm_std
unsafe_ratio,eudm_ai,1,0.0,0.0,0.0,0.000000 +- 0.000000
unsafe_ratio,eudm_base,1,0.0,0.0,0.0,0.000000 +- 0.000000
unsafe_ratio,mpdm,1,0.27154046997389036,0.0,0.0,0.271540 +- 0.000000
average_velocity_mps,eudm_ai,1,11.959578012337387,0.0,0.0,11.959578 +- 0.000000
average_velocity_mps,eudm_base,1,11.830002204413733,0.0,0.0,11.830002 +- 0.000000
average_velocity_mps,mpdm,1,15.144532160028922,0.0,0.0,15.144532 +- 0.000000
ud_per_km,eudm_ai,1,0.0,0.0,0.0,0.000000 +- 0.000000
ud_per_km,eudm_base,1,0.0,0.0,0.0,0.000000 +- 0.000000
ud_per_km,mpdm,1,0.0,0.0,0.0,0.000000 +- 0.000000
lcc_per_km,eudm_ai,1,0.0,0.0,0.0,0.000000 +- 0.000000
lcc_per_km,eudm_base,1,0.0,0.0,0.0,0.000000 +- 0.000000
lcc_per_km,mpdm,1,0.0,0.0,0.0,0.000000 +- 0.000000
distance_m,eudm_ai,1,90.899185627582,0.0,0.0,90.899186 +- 0.000000
distance_m,eudm_base,1,89.92499655057922,0.0,0.0,89.924997 +- 0.000000
distance_m,mpdm,1,115.1358338181878,0.0,0.0,115.135834 +- 0.000000
frames,eudm_ai,1,767.0,0.0,0.0,767.000000 +- 0.000000
frames,eudm_base,1,763.0,0.0,0.0,763.000000 +- 0.000000
frames,mpdm,1,766.0,0.0,0.0,766.000000 +- 0.000000
